Curio Prop Name,Sprite Reference,Curio Type,UI String Name,Audio Event Name
TheSpiv,TheSpiv,TheSpiv,TheSpiv,TheSpiv
TheKid,TheKid,TheKid,TheKid,TheKid
Lantern_Barrel,Lantern_Barrel,Lantern_Barrel,Lantern_Barrel,Lantern_Barrel
Quarter_Distillery,Quarter_Distillery,Quarter_Distillery,Quarter_Distillery,Quarter_Distillery
Quarter_Carriage,Quarter_Carriage,Quarter_Carriage,Quarter_Carriage,Quarter_Carriage
Infernal_Merchant,Infernal_Merchant,Infernal_Merchant,Infernal_Merchant,Infernal_Merchant
snake_oil_salesman,snake_oil_salesman,snake_oil_salesman,snake_oil_salesman,snake_oil_salesman
hot_dog_vendor,hot_dog_vendor,hot_dog_vendor,hot_dog_vendor,hot_dog_vendor
virile_brew,virile_brew,virile_brew,virile_brew,virile_brew
trash_can,trash_can,trash_can,trash_can,trash_can
quarter_crates,quarter_crates,quarter_crates,quarter_crates,quarter_crates
quarter_fountain,quarter_fountain,quarter_fountain,quarter_fountain,quarter_fountain
food_stand,food_stand,food_stand,food_stand,food_stand
vending_machine,vending_machine,vending_machine,vending_machine,vending_machine
phone_booth,phone_booth,phone_booth,phone_booth,phone_booth
sweeper_supplies,sweeper_supplies,sweeper_supplies,sweeper_supplies,sweeper_supplies
lamp_post,lamp_post,lamp_post,lamp_post,lamp_post
contraband_merchant,contraband_merchant,contraband_merchant,contraband_merchant,contraband_merchant
fortune_teller,fortune_teller,fortune_teller,fortune_teller,fortune_teller
newspaper_stand,newspaper_stand,newspaper_stand,newspaper_stand,newspaper_stand
newspaper_merchant,newspaper_merchant,newspaper_merchant,newspaper_merchant,newspaper_merchant
killer_victim,killer_victim,killer_victim,killer_victim,killer_victim
murder_site,murder_site,murder_site,murder_site,murder_site
murder_site_2,murder_site_2,murder_site_2,murder_site_2,murder_site_2
murder_site_3,murder_site_3,murder_site_3,murder_site_3,murder_site_3
homeless_drunk,homeless_drunk,homeless_drunk,homeless_drunk,homeless_drunk
police_lieutenant ,police_lieutenant ,police_lieutenant ,police_lieutenant ,police_lieutenant 
