global,,room;entrance,room;,room;mash,room;curio,r;final_room,,c;,c;mash,c;curio,c;trap,c;obstacle,,,,,,,,,,,,,,,,,,,
,,ROOM TILES,,,,,,CORRIDOR TILES,,,,,,COMMENT,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,c;,c;,c;,,,,,,,,,c;,c;,c;,c;,room;curio,c;,c;,c;,c;mash=tutorial_mash_05,c;,c;,c;,room;treasure=snake_oil_salesman
,,,,,,,c;,c;curio,,c;obstacle,,,,,,,,c;,c;,,,,,,,,,,,,
,,,,,,,c;,,,c;,,,,,,,,c;,,,,,,,,,,,,,
,,,,,,,room;,,,room;mash=tutorial_mash_01,c;,c;trap,c;,c;,c;obstacle,c;,c;,room;mash=tutorial_mash_04,,,,,,,,,,,,,
,,,,,,,c;,,,c;,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c;mash,,,c;,c;,,,,,,,,,,,,,,,,,,,,
,,,,,,,c;,,,,c;,c;,,,,,,,,,,,,,,,,,,,
,,,,,,,c;,,,,,c;,c;,room;treasure=TheSpiv,c;,c;,c;trap,,,,,,,,,,,,,,
,,,,,,,c;obstacle,,,,,,,,,,c;,,,,,,,,,,,,,,
,,,,,,,c;,,,,,,,,,,c;,,,,,,,,,,,,,,
,,,,,,,c;,,,,,,,,,c;,c;obstacle,,,,,,,,,,,,,,
,,,,,,,room;curio;mash=tutorial_mash_03,c;,c;,c;curio,c;,c;trap,c;,c;,room;,c;,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,c;,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,c;,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,c;obstacle,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,c;,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,c;,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,c;mash=tutorial_mash_02,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,c;,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,room;entrance,,,,,,,,,,,,,,,,
